URL,Domain Rating (DR),Monthly Traffic,Niche/Category,DACH Region Relevance,Status
sketchfab.com,90,,,,,To Be Submitted
idea.informer.com,90,,,,,To Be Submitted
zazzle.com,86,,,,,To Be Submitted
speakerdeck.com,85,,,,,To Be Submitted
pearltrees.com,84,,,,,To Be Submitted
magcloud.com,80,,,,,To Be Submitted
tumblr.com,77,,,,,To Be Submitted
justlanded.com,75,,,,,To Be Submitted
wakelet.com,71,,,,,To Be Submitted
zeemaps.com,68,,,,,To Be Submitted
provenexpert.com,67,,,,,To Be Submitted
brownbook.net,62,,,,,To Be Submitted
triberr.com,61,,,,,To Be Submitted
hotfrog.com,57,,,,,To Be Submitted
callupcontact.com,56,,,,,To Be Submitted
cybo.com,55,,,,,To Be Submitted
40billion.com,54,,,,,To Be Submitted
enrollbusiness.com,53,,,,,To Be Submitted
startus.cc,53,,,,,To Be Submitted
zumvu.com,53,,,,,To Be Submitted
askmap.net,51,,,,,To Be Submitted
dibiz.com,51,,,,,To Be Submitted
linkcentre.com,50,,,,,To Be Submitted
2findlocal.com,47,,,,,To Be Submitted
businessworld.com,46,,,,,To Be Submitted
vymaps.com,46,,,,,To Be Submitted
flokii.com,45,,,,,To Be Submitted
bunity.com,43,,,,,To Be Submitted
trustindex.io,42,,,,,To Be Submitted
youbiz.com,41,,,,,To Be Submitted
weboworld.com,40,,,,,To Be Submitted
iformative.com,39,,,,,To Be Submitted
app.innmind.com,39,,,,,To Be Submitted
discover247.directoryup.com,38,,,,,To Be Submitted
bizidex.com,37,,,,,To Be Submitted
adfty.biz,37,,,,,To Be Submitted
supplyautonomy.com,36,,,,,To Be Submitted
eliteservicesnetwork.com,36,,,,,To Be Submitted
trueen.com,36,,,,,To Be Submitted
earthmom.org,35,,,,,To Be Submitted
whatsyourhours.com/switzerland,35,,,,,To Be Submitted
askmeclassifieds.com,35,,,,,To Be Submitted
sayellow.com,33,,,,,To Be Submitted
industryhuddle.com,33,,,,,To Be Submitted
b2bco.com,32,,,,,To Be Submitted
surfyourtown.com,31,,,,,To Be Submitted
ecitybiz.com,31,,,,,To Be Submitted
golocalezservices.com,30,,,,,To Be Submitted
yellowpages.net,30,,,,,To Be Submitted
successcenter.com,28,,,,,To Be Submitted
mapfling.com,28,,,,,To Be Submitted
wegotaguy.net,26,,,,,To Be Submitted
letfindout.com,25,,,,,To Be Submitted
trustburn.com,24,,,,,To Be Submitted
bizthistown.com/switzerland,22,,,,,To Be Submitted
verview.com,22,,,,,To Be Submitted
gravitysplash.com,20,,,,,To Be Submitted
topgoogle.com,20,,,,,To Be Submitted
thelocal.directory,19,,,,,To Be Submitted
b2bgrowthhub.com,19,,,,,To Be Submitted
mapfab.com,19,,,,,To Be Submitted
digitalageexpo.com,18,,,,,To Be Submitted
b2bgrowthexpo.org,18,,,,,To Be Submitted
directory9.net,16,,,,,To Be Submitted
bizratings.com,16,,,,,To Be Submitted
perrysplacepromotions.org,16,,,,,To Be Submitted
pagebook.ws,15,,,,,To Be Submitted
yoys.net,14,,,,,To Be Submitted
globaleconnections.com/switzerland,13,,,,,To Be Submitted
thedigitalbuzzmagazine.com,13,,,,,To Be Submitted
revealbusinesses.com,12,,,,,To Be Submitted
zipt.com,12,,,,,To Be Submitted
speednetworkinggroup.com,11,,,,,To Be Submitted
rateusonline.com,11,,,,,To Be Submitted
myperfecthost.com,11,,,,,To Be Submitted
basemaps.com,10,,,,,To Be Submitted
mybusinessdirectorylocal.com,10,,,,,To Be Submitted
flipmyyard.com,10,,,,,To Be Submitted
localwebdirectori.com,9,,,,,To Be Submitted
okservicework.com,7,,,,,To Be Submitted
localbusinessnation.com/switzerland,6,,,,,To Be Submitted
warriorbiznetwork.com,6,,,,,To Be Submitted
lowcountryminoritybiz.com,6,,,,,To Be Submitted
total24.online,3,,,,,To Be Submitted
listingster.com,3,,,,,To Be Submitted
smartbusinesspage.com,,,,,To Be Submitted
google.com/business,98,,General,Germany,To Be Submitted
dasoertliche.de,80,,General,Germany,To Be Submitted
werkenntdenbesten.de,80,,General,Germany,To Be Submitted
11880.com,79,,General,Germany,To Be Submitted
gelbeseiten.de,79,,General,Germany,To Be Submitted
kennstdueinen.de,79,,General,Germany,To Be Submitted
webwiki.de,79,,General,Germany,To Be Submitted
golocal.de,78,,General,Germany,To Be Submitted
